Name;Hylak_ID;Shore_len;Lake_area;Latitude;Longitude;Country;Continent;Mountain;Endorheic;Reservoir;SWORD;Glacier;Permafrost;Other;ID;RESERVOIR.1;RIVR_SCORE;Weather file
Mono Lake;798.0;84.6554979098;187.54304236;38.0144048852;-118.968036287;UNITED STATES;North America;1;1;0;0;0;1;0;800798.0;-1.0;-1.0;LEE VINING, CA US
Green Mountain;112199.0;34.6869688262;8.33849520033;39.8830795694;-106.30474785;UNITED STATES;North America;1;0;1;0;0;1;0;719117.0;1.0;0.15;GREEN MOUNTAIN DAM, CO US
Cold Water Lake;107565.0;15.1860361492;3.13428828775;-122.240504507;46.3028678997;UNITED STATES;North America;1;0;0;0;0;1;0;712226.0;0.0;0.11;MAYFIELD POWER PLANT, WA US
Rough Lake;1040298.0;6.1122330084;0.47780381223;45.1196507871;-109.828981425;UNITED STATES;North America;1;0;0;0;0;1;0;670013.0;0.0;0.44;PARK CITY 1 NE, MT US
Washakie Lake;1049892.0;3.81729860589;0.47261392792;42.8228171886;-109.23356717;UNITED STATES;North America;1;0;0;0;1;1;0;711595.0;0.0;0.24;LANDER 1 W, WY US
Bass Lake;1025461.0;3.1291398244;0.35935559041;46.5898555716;-114.295918142;UNITED STATES;North America;1;0;0;0;0;1;0;668406.0;0.0;0.28;
Lake Heebeecheeche;1049559.0;3.23343111304;0.34539766017;42.960590151;-109.340048933;UNITED STATES;North America;1;0;0;0;0;1;0;711557.0;0.0;0.24;LANDER 1 W, WY US
Deep Ward Lake;1057166.0;2.65386491324;0.32609783571;39.036151649;-107.980165405;UNITED STATES;North America;1;0;0;0;0;1;0;713323.0;0.0;0.38;CEDAREDGE 3 E, CO US
Devils Bathtub;1058966.0;2.31192144184;0.29561822283;37.4322032665;-118.99681947;UNITED STATES;North America;1;0;0;0;0;1;0;733488.0;0.0;0.37;ASPENDELL, CA US
Riffe Lake;8652.0;79.9986752154;45.2672940116;46.4779897974;-122.2961605;UNITED STATES;North America;1;0;1;1;0;1;0;712771.0;1.0;0.06;
36940;;;;;;;;;;;;;;;;;;
Grave Lake;100369.0;6.23552808049;1.26038712731;49.8634947368;-114.834471265;CANADA;North America;1;0;0;0;0;1;0;676738.0;0.0;0.33;SPARWOOD
June Lake;112595.0;4.7865298465;1.21393293727;37.7886650734;-119.073551188;UNITED STATES;North America;1;1;0;0;0;1;0;735328.0;0.0;0.24;CRESTVIEW CALIFORNIA, CA US
Fox Lake;1041078.0;6.3340767172;0.59142157189;45.0314932151;-109.80520745;UNITED STATES;North America;1;0;0;0;0;1;0;670035.0;0.0;0.31;BURNT MOUNTAIN, MT US
Bleak Lake;964969.0;3.03894759239;0.51608779595;49.9249135681;-116.382042616;CANADA;North America;1;0;0;0;1;1;0;667997.0;0.0;0.48;KASLO
Griffith Lake;1057130.0;3.1396841156;0.26326358946;39.0629634097;-108.055038625;UNITED STATES;North America;1;0;0;0;0;1;0;713306.0;0.0;0.6;CEDAREDGE 3 E, CO US
;965307.0;3.02863825967;0.23196309179;49.9067135235;-57.0858230858;CANADA;North America;0;0;0;0;0;1;0;412025.0;0.0;0.4;KASLO
Cross Creek Reservoir;1044829.0;2.17792068052;0.20313241869;44.5022544945;-107.209433865;UNITED STATES;North America;1;0;0;0;0;1;0;671115.0;0.0;0.38;BUFFALO, WY US
Lac Levesque;985150.0;1.53218833868;0.15091702043;48.9220565391;-66.473029491;CANADA;North America;1;0;0;0;0;1;0;465532.0;0.0;0.5;CAP CHAT
;964479.0;1.5169598769;0.09609465133;49.948902967;-116.403071842;CANADA;North America;1;0;0;0;0;1;0;667988.0;0.0;0.53;KASLO
