STATION;NAME;LATITUDE;LONGITUDE;DATE;PRCP;PRCP_ATTRIBUTES;SNOW;SNOW_ATTRIBUTES;SNWD;SNWD_ATTRIBUTES;TAVG;TAVG_ATTRIBUTES;TMAX;TMAX_ATTRIBUTES;TMIN;TMIN_ATTRIBUTES;TOBS;TOBS_ATTRIBUTES
USC00044881;LEE VINING, CA US;37.9567;-119.1194;01/01/2010;0.0;,,0,0900;0.0;,,0,;127.0;,,0,;;;5.0;,,0;-4.4;,,0;-1.7;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;02/01/2010;0.0;,,0,0900;0.0;,,0,;127.0;,,0,;;;7.2;,,0;-7.2;,,0;-4.4;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;03/01/2010;0.0;,,0,0900;0.0;,,0,;127.0;,,0,;;;1.7;,,0;-8.9;,,0;-6.7;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;04/01/2010;0.0;,,0,0900;0.0;,,0,;127.0;,,0,;;;1.7;,,0;-7.8;,,0;-6.1;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;05/01/2010;0.0;,,0,0900;0.0;,,0,;127.0;,,0,;;;4.4;,,0;-8.3;,,0;-4.4;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;06/01/2010;0.0;,,0,0900;0.0;,,0,;127.0;,,0,;;;2.8;,,0;-6.7;,,0;-2.8;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;07/01/2010;0.0;,,0,0900;0.0;,,0,;127.0;,,0,;;;4.4;,,0;-3.9;,,0;1.1;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;08/01/2010;0.0;,,0,0900;0.0;,,0,;102.0;,,0,;;;6.7;,,0;-3.3;,,0;-0.6;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;09/01/2010;0.0;T,,0,0900;0.0;,,0,;102.0;,,0,;;;5.6;,,0;-3.3;,,0;;
USC00044881;LEE VINING, CA US;37.9567;-119.1194;10/01/2010;0.5;,,0,0900;0.0;,,0,;102.0;,,0,;;;1.1;,,0;-1.7;,,0;-0.6;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;11/01/2010;0.0;,,0,0900;0.0;,,0,;76.0;,,0,;;;0.6;,,0;-4.4;,,0;;
USC00044881;LEE VINING, CA US;37.9567;-119.1194;12/01/2010;0.0;T,,0,0900;0.0;T,,0,;51.0;,,0,;;;-0.6;,,0;-2.8;,,0;;
USC00044881;LEE VINING, CA US;37.9567;-119.1194;13/01/2010;11.7;,,0,0900;48.0;,,0,;102.0;,,0,;;;10.0;,,0;-1.1;,,0;-1.1;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;14/01/2010;0.0;,,0,0900;0.0;,,0,;76.0;,,0,;;;6.7;,,0;-8.3;,,0;-1.1;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;15/01/2010;0.0;,,0,0900;0.0;,,0,;76.0;,,0,;;;4.4;,,0;-7.2;,,0;-3.9;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;16/01/2010;0.0;,,0,0900;0.0;,,0,;76.0;,,0,;;;3.9;,,0;-4.4;,,0;0.0;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;17/01/2010;0.0;,,0,0900;0.0;,,0,;51.0;,,0,;;;8.3;,,0;-5.6;,,0;-2.2;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;18/01/2010;0.3;,,0,0900;5.0;,,0,;51.0;,I,0,;;;5.6;,,0;-2.8;,,0;-1.7;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;19/01/2010;31.8;,,0,0900;318.0;,I,0,;406.0;,I,0,;;;1.1;,,0;-5.0;,,0;-2.2;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;20/01/2010;0.0;T,,0,0900;0.0;T,,0,;330.0;,,0,;;;-0.6;,,0;-3.9;,,0;-2.8;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;21/01/2010;25.4;,,0,0900;254.0;,,0,;533.0;,,0,;;;0.0;,,0;-9.4;,,0;-6.1;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;22/01/2010;23.4;,,0,0900;272.0;,,0,;711.0;,,0,;;;-5.0;,,0;-8.3;,,0;-6.7;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;23/01/2010;0.0;,,0,0900;0.0;,,0,;686.0;,,0,;;;0.0;,,0;-12.2;,,0;-10.6;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;24/01/2010;0.0;,,0,0900;0.0;,,0,;660.0;,,0,;;;-3.3;,,0;-11.7;,,0;;
USC00044881;LEE VINING, CA US;37.9567;-119.1194;25/01/2010;0.3;,,0,0900;8.0;,,0,;635.0;,,0,;;;-3.3;,,0;-7.8;,,0;;
USC00044881;LEE VINING, CA US;37.9567;-119.1194;26/01/2010;4.1;,,0,0900;51.0;,,0,;584.0;,,0,;;;3.3;,,0;-3.3;,,0;-2.2;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;27/01/2010;0.0;,,0,0900;0.0;P,,0,;559.0;,,0,;;;5.6;,,0;-6.1;,,0;-2.8;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;28/01/2010;0.0;,,0,0900;0.0;,,0,;483.0;,,0,;;;5.6;,,0;-10.6;,,0;-7.2;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;29/01/2010;0.0;,,0,0900;0.0;,,0,;483.0;,,0,;;;-1.7;,,0;-7.2;,,0;-5.0;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;30/01/2010;0.0;T,,0,0900;0.0;,,0,;457.0;,,0,;;;1.7;,,0;-6.7;,,0;-2.2;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;31/01/2010;0.0;,,0,0900;0.0;,,0,;432.0;,,0,;;;3.3;,,0;-12.2;,,0;-8.3;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;01/02/2010;0.0;,,0,0900;0.0;,,0,;432.0;,,0,;;;-1.7;,,0;-9.4;,,0;;
USC00044881;LEE VINING, CA US;37.9567;-119.1194;02/02/2010;0.0;,,0,0900;0.0;,,0,;406.0;,,0,;;;1.1;,,0;-5.0;,,0;-1.7;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;03/02/2010;0.0;,,0,0900;0.0;,,0,;406.0;,,0,;;;2.2;,,0;-7.2;,,0;-5.6;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;04/02/2010;0.0;,,0,0900;0.0;,,0,;406.0;,,0,;;;-0.6;,,0;-8.3;,,0;;
USC00044881;LEE VINING, CA US;37.9567;-119.1194;05/02/2010;3.0;,,0,0900;51.0;,,0,;432.0;,,0,;;;4.4;,,0;-1.1;,,0;0.6;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;06/02/2010;3.3;,,0,0900;66.0;,,0,;406.0;,,0,;;;4.4;,,0;-3.3;,,0;-1.1;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;07/02/2010;0.0;T,,0,0900;0.0;,,0,;406.0;,,0,;;;5.0;,,0;-3.9;,,0;-1.1;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;08/02/2010;0.0;T,,0,0900;3.0;,,0,;305.0;,,0,;;;3.9;,,0;-3.3;,,0;-1.1;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;09/02/2010;0.0;,,0,0900;0.0;,,0,;305.0;,,0,;;;2.8;,,0;-5.0;,,0;-2.8;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;10/02/2010;1.8;,,0,0900;56.0;,,0,;356.0;,,0,;;;2.2;,,0;-6.7;,,0;;
USC00044881;LEE VINING, CA US;37.9567;-119.1194;11/02/2010;0.0;,,0,0900;0.0;,,0,;305.0;,,0,;;;1.7;,,0;-5.6;,,0;-2.2;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;12/02/2010;0.0;,,0,0900;0.0;,,0,;254.0;,,0,;;;6.1;,,0;-4.4;,,0;0.6;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;13/02/2010;0.0;,,0,0900;0.0;,,0,;229.0;,,0,;;;6.7;,,0;-5.6;,,0;-0.6;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;14/02/2010;0.0;,,0,0900;0.0;,,0,;203.0;,,0,;;;6.7;,,0;-6.7;,,0;-1.1;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;15/02/2010;0.0;,,0,0900;0.0;,,0,;152.0;,,0,;;;6.7;,,0;-5.6;,,0;-1.7;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;16/02/2010;0.0;,,0,0900;0.0;,,0,;152.0;,,0,;;;10.0;,,0;-5.0;,,0;-0.6;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;17/02/2010;0.0;,,0,0900;0.0;,,0,;102.0;,,0,;;;7.2;,,0;-3.9;,,0;0.0;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;18/02/2010;0.0;,,0,0900;0.0;,,0,;76.0;,,0,;;;7.8;,,0;-5.0;,,0;1.1;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;19/02/2010;0.0;,,0,0900;0.0;,,0,;76.0;,,0,;;;7.8;,,0;-3.3;,,0;0.6;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;20/02/2010;0.0;T,,0,0900;5.0;,,0,;51.0;,,0,;;;4.4;,,0;-2.2;,,0;-1.7;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;21/02/2010;0.0;T,,0,0900;3.0;,,0,;51.0;,,0,;;;5.0;,,0;-1.7;,,0;-0.6;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;22/02/2010;12.2;,,0,0900;114.0;,,0,;152.0;,,0,;;;3.9;,,0;-11.1;,,0;-6.1;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;23/02/2010;0.0;,,0,0900;0.0;,,0,;127.0;,,0,;;;0.6;,,0;-9.4;,,0;;
USC00044881;LEE VINING, CA US;37.9567;-119.1194;24/02/2010;17.8;,,0,0900;165.0;,,0,;279.0;,,0,;;;5.0;,,0;-1.7;,,0;0.0;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;25/02/2010;1.0;,,0,0900;0.0;T,,0,;152.0;,,0,;;;5.0;,,0;-6.7;,,0;-2.8;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;26/02/2010;0.0;,,0,0900;0.0;,,0,;127.0;,,0,;;;5.6;,,0;-3.3;,,0;2.8;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;27/02/2010;43.2;,,0,0900;140.0;,,0,;254.0;,,0,;;;8.9;,,0;-3.3;,,0;3.3;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;28/02/2010;0.5;,,0,0900;8.0;,,0,;229.0;,,0,;;;4.4;,,0;-2.2;,,0;2.2;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;01/03/2010;0.0;,,0,0900;0.0;,,0,;203.0;,,0,;;;6.1;,,0;-4.4;,,0;-1.1;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;02/03/2010;0.0;,,0,0900;0.0;,,0,;178.0;,,0,;;;5.6;,,0;-2.2;,,0;2.2;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;03/03/2010;0.0;,,0,0900;0.0;,,0,;152.0;,,0,;;;6.7;,,0;-4.4;,,0;2.8;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;04/03/2010;4.1;,,0,0900;51.0;,,0,;203.0;,,0,;;;6.1;,,0;-7.2;,,0;-2.2;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;05/03/2010;0.0;,,0,0900;0.0;,,0,;152.0;,,0,;;;3.9;,,0;-8.3;,,0;-2.2;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;06/03/2010;0.0;,,0,0900;0.0;,,0,;152.0;,,0,;;;4.4;,,0;-2.2;,,0;0.6;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;07/03/2010;0.3;,,0,0900;5.0;,,0,;152.0;,,0,;;;3.3;,,0;-3.9;,,0;-0.6;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;08/03/2010;0.0;,,0,0900;0.0;,,0,;152.0;,,0,;;;7.8;,,0;-3.9;,,0;2.2;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;09/03/2010;0.5;,,0,0900;3.0;,,0,;127.0;,,0,;;;6.7;,,0;-9.4;,,0;-3.3;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;10/03/2010;0.0;T,,0,0900;0.0;,,0,;102.0;,,0,;;;2.8;,,0;-5.6;,,0;-3.9;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;11/03/2010;0.0;,,0,0900;0.0;,,0,;76.0;,,0,;;;1.1;,,0;-9.4;,,0;-3.9;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;12/03/2010;0.0;,,0,0900;0.0;,,0,;51.0;,,0,;;;7.2;,,0;-3.9;,,0;2.2;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;13/03/2010;7.4;,,0,0900;64.0;,,0,;102.0;,,0,;;;10.0;,,0;-4.4;,,0;-0.6;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;14/03/2010;0.0;,,0,0900;0.0;,,0,;25.0;,,0,;;;1.1;,,0;-10.0;,,0;-5.6;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;15/03/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;6.7;,,0;-6.1;,,0;-2.2;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;16/03/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;10.6;,,0;-2.8;,,0;1.7;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;17/03/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;12.8;,,0;-0.6;,,0;1.7;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;18/03/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;14.4;,,0;-1.1;,,0;3.3;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;19/03/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;10.6;,,0;-4.4;,,0;0.0;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;20/03/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;12.8;,,0;-3.3;,,0;-0.6;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;21/03/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;13.9;,,0;-0.6;,,0;5.6;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;22/03/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;14.4;,,0;-2.2;,,0;0.6;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;23/03/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;13.9;,,0;-4.4;,,0;0.0;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;24/03/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;11.7;,,0;-3.3;,,0;1.1;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;25/03/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;15.6;,,0;1.1;,,0;3.9;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;26/03/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;9.4;,,0;-5.0;,,0;0.6;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;27/03/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;10.0;,,0;-5.0;,,0;;
USC00044881;LEE VINING, CA US;37.9567;-119.1194;28/03/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;11.7;,,0;-1.7;,,0;;
USC00044881;LEE VINING, CA US;37.9567;-119.1194;29/03/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;17.2;,,0;4.4;,,0;9.4;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;30/03/2010;0.0;T,,0,0900;0.0;T,,0,;0.0;T,,0,;;;18.3;,,0;1.1;,,0;4.4;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;31/03/2010;6.4;,,0,0900;51.0;,,0,;51.0;,,0,;;;7.8;,,0;-3.9;,,0;-3.9;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;01/04/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;2.2;,,0;-8.3;,,0;-2.8;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;02/04/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;4.4;,,0;-6.1;,,0;;
USC00044881;LEE VINING, CA US;37.9567;-119.1194;03/04/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;10.0;,,0;0.0;,,0;4.4;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;04/04/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;9.4;,,0;-5.6;,,0;0.6;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;05/04/2010;17.3;,,0,0900;203.0;,,0,;203.0;,,0,;;;6.1;,,0;-5.0;,,0;-3.9;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;06/04/2010;0.0;T,,0,0900;0.0;T,,0,;127.0;,,0,;;;2.2;,,0;-10.0;,,0;-3.3;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;07/04/2010;0.0;,,0,0900;0.0;,,0,;76.0;,,0,;;;8.3;,,0;-4.4;,,0;3.3;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;08/04/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;12.8;,,0;-1.1;,,0;5.0;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;09/04/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;17.2;,,0;-1.7;,,0;2.2;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;10/04/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;12.8;,,0;-1.7;,,0;5.6;,,0,0900
